Year,Extroversion,Number of textees,Hours of sleep,Handedness,Pant leg,Sleep position,Pets,Piercings
Second,4,4,7,Right-handed,Left leg in first,On your back,Dog,2
Second,4,6,7,Right-handed,Left leg in first,On your back,Dog,2
Second,7,20,4,Right-handed,Left leg in first,On your back,Dog,2
Second,2,2,7,Right-handed,Right leg in first,On your back,Dog,2
Second,2,10,6,Right-handed,Right leg in first,On your back,Dog,2
Second,3,5,7,Right-handed,Right leg in first,On your back,Dog,2
Second,3,10,7,Right-handed,Right leg in first,On your back,Dog,2
Second,4,6,8,Right-handed,Right leg in first,On your back,Dog,2
Second,6,4,6,Right-handed,Right leg in first,On your back,Dog,2
Second,6,5,8,Right-handed,Right leg in first,On your back,Dog,2
Second,7,6,8,Right-handed,Right leg in first,On your back,Dog,2
Second,8,4,8,Right-handed,Right leg in first,On your back,Dog,2
Second,2,2,6,Right-handed,I don't know,On your left side,Dog,2
Second,8,3,7,Right-handed,I don't know,On your left side,Dog,2
Second,2,3,7,Right-handed,Left leg in first,On your left side,Dog,2
Second,3,5,8,Right-handed,Left leg in first,On your left side,Dog,2
Second,7,5,8,Right-handed,Left leg in first,On your left side,Dog,2
Second,8,3,6,Right-handed,Left leg in first,On your left side,Dog,2
Second,3,3,6,Right-handed,Right leg in first,On your left side,Dog,2
Second,4,2,7,Right-handed,Right leg in first,On your left side,Dog,2
Second,4,10,7,Right-handed,Right leg in first,On your left side,Dog,2
Second,5,3,6,Right-handed,Right leg in first,On your left side,Dog,2
Second,7,4,6,Right-handed,Right leg in first,On your left side,Dog,2
Second,9,6,7,Right-handed,Right leg in first,On your left side,Dog,2
Second,8,15,7,Right-handed,I don't know,On your right side,Dog,2
Second,2,3,5,Right-handed,Left leg in first,On your right side,Dog,2
Second,4,3,7,Right-handed,Left leg in first,On your right side,Dog,2
Second,8,10,8,Right-handed,Left leg in first,On your right side,Dog,2
Second,3,2,5,Left-handed,Right leg in first,On your right side,Dog,2
Second,1,7,8,Right-handed,Right leg in first,On your right side,Dog,2
Second,6,10,5,Right-handed,Right leg in first,On your right side,Dog,2
Second,7,5,7,Right-handed,Right leg in first,On your right side,Dog,2
Second,7,11,7,Right-handed,Right leg in first,On your right side,Dog,2
Second,7,13,6,Right-handed,Right leg in first,On your right side,Dog,2
Second,8,8,8,Right-handed,Right leg in first,On your right side,Dog,2
Second,6,5,6,Right-handed,Left leg in first,On your stomach,Dog,2
Second,8,7,8.5,Right-handed,Left leg in first,On your stomach,Dog,2
Second,4,5,6,Right-handed,Right leg in first,On your stomach,Dog,2
Second,5,5,7,Right-handed,Right leg in first,On your stomach,Dog,2
Second,8,5,6,Right-handed,Right leg in first,On your stomach,Dog,2
Third,3,4,6,Right-handed,Right leg in first,On your back,Dog,2
Third,5,6,7,Right-handed,Right leg in first,On your back,Dog,2
Third,7,7,7,Right-handed,Right leg in first,On your back,Dog,2
Third,3,3,9,Left-handed,Left leg in first,On your left side,Dog,2
Third,3,5,7,Right-handed,Left leg in first,On your left side,Dog,2
Third,6,12,8,Right-handed,Left leg in first,On your left side,Dog,2
Third,2,2,6,Right-handed,I don't know,On your right side,Dog,2
Third,2,2,7,Right-handed,I don't know,On your right side,Dog,2
Third,3,4,7,Right-handed,I don't know,On your right side,Dog,2
Third,4,10,6,Right-handed,Right leg in first,On your right side,Dog,2
Third,5,15,7,Right-handed,Right leg in first,On your right side,Dog,2
Third,8,7,7,Right-handed,Right leg in first,On your right side,Dog,2
Third,5,4,9,Left-handed,Left leg in first,On your stomach,Dog,2
Third,8,5,7,Right-handed,Left leg in first,On your stomach,Dog,2
Third,7,5,8,Right-handed,Right leg in first,On your stomach,Dog,2
First,6,10,6,Right-handed,Left leg in first,On your back,Dog,1
First,7,4,8,Right-handed,Left leg in first,On your back,Dog,1
First,6,5,7,Right-handed,I don't know,On your left side,Dog,1
First,4,4,6,Right-handed,Left leg in first,On your right side,Dog,1
First,6,5,8,Right-handed,Left leg in first,On your right side,Dog,1
First,3,3,8,Right-handed,Right leg in first,On your right side,Dog,1
First,4,2,7,Right-handed,Right leg in first,On your right side,Dog,1
First,4,3,9,Left-handed,Left leg in first,On your stomach,Dog,1
Fourth,3,7,5,Right-handed,Left leg in first,On your right side,Dog,1
Second,8,2,8,Right-handed,I don't know,On your back,Dog,1
Second,8,10,7,Right-handed,I don't know,On your back,Dog,1
Second,6,3,7.5,Right-handed,Right leg in first,On your back,Dog,1
Second,7,6,7,Right-handed,Right leg in first,On your left side,Dog,1
Second,8,7,7,Left-handed,Left leg in first,On your right side,Dog,1
Second,3,4,7,Right-handed,Right leg in first,On your right side,Dog,1
Second,4,2,7,Right-handed,Right leg in first,On your right side,Dog,1
Second,6,3,8,Right-handed,Right leg in first,On your right side,Dog,1
Second,7,4,7,Right-handed,Right leg in first,On your right side,Dog,1
Second,6,10,8,Right-handed,Left leg in first,On your stomach,Dog,1
Second,2,5,8,Right-handed,Right leg in first,On your stomach,Dog,1
Third,8,5,8,Right-handed,Right leg in first,On your right side,Dog,1
Fifth or above,7,5,7,Left-handed,Left leg in first,On your right side,Dog,0
First,4,0,6,Right-handed,I don't know,On your back,Dog,0
First,5,8,7,Right-handed,I don't know,On your back,Dog,0
First,6,3,7,Right-handed,I don't know,On your back,Dog,0
First,8,5,7,Right-handed,I don't know,On your back,Dog,0
First,8,8,6,Right-handed,I don't know,On your back,Dog,0
First,2,2,7,"only writes with right hand, other things in left hand",Left leg in first,On your back,Dog,0
First,3,1,9,Right-handed,Left leg in first,On your back,Dog,0
First,6,4,7,Right-handed,Left leg in first,On your back,Dog,0
First,7,6,8,Right-handed,Left leg in first,On your back,Dog,0
First,7,12,7,Right-handed,Left leg in first,On your back,Dog,0
First,7,5,7,Left-handed,Right leg in first,On your back,Dog,0
First,3,4,6,Right-handed,Right leg in first,On your back,Dog,0
First,3,4,6,Right-handed,Right leg in first,On your back,Dog,0
First,4,4,7,Right-handed,Right leg in first,On your back,Dog,0
First,5,4,7.5,Right-handed,Right leg in first,On your back,Dog,0
First,5,10,7,Right-handed,Right leg in first,On your back,Dog,0
First,6,5,7,Right-handed,Right leg in first,On your back,Dog,0
First,6,5,7,Right-handed,Right leg in first,On your back,Dog,0
First,6,9,7,Right-handed,Right leg in first,On your back,Dog,0
First,7,5,7,Right-handed,Right leg in first,On your back,Dog,0
First,7,10,4,Right-handed,Right leg in first,On your back,Dog,0
First,7,15,6,Right-handed,Right leg in first,On your back,Dog,0
First,7,17,6,Right-handed,Right leg in first,On your back,Dog,0
First,7,20,7,Right-handed,Right leg in first,On your back,Dog,0
First,8,4,8,Right-handed,Right leg in first,On your back,Dog,0
First,8,12,8,Right-handed,Right leg in first,On your back,Dog,0
First,3,5,6,Right-handed,I don't know,On your left side,Dog,0
First,6,10,6,Right-handed,I don't know,On your left side,Dog,0
First,7,14,7,Right-handed,I don't know,On your left side,Dog,0
First,4,2,7,Left-handed,Left leg in first,On your left side,Dog,0
First,4,4,7,Left-handed,Left leg in first,On your left side,Dog,0
First,7,25,7,Left-handed,Left leg in first,On your left side,Dog,0
First,3,6,6,Right-handed,Left leg in first,On your left side,Dog,0
First,5,4,6,Right-handed,Left leg in first,On your left side,Dog,0
First,5,9,7.5,Right-handed,Left leg in first,On your left side,Dog,0
First,6,6,8,Right-handed,Left leg in first,On your left side,Dog,0
First,7,10,8,Right-handed,Left leg in first,On your left side,Dog,0
First,8,3,8,Right-handed,Left leg in first,On your left side,Dog,0
First,1,4,7,Right-handed,Right leg in first,On your left side,Dog,0
First,3,2,6,Right-handed,Right leg in first,On your left side,Dog,0
First,3,8,7,Right-handed,Right leg in first,On your left side,Dog,0
First,4,5,7,Right-handed,Right leg in first,On your left side,Dog,0
First,4,5,8,Right-handed,Right leg in first,On your left side,Dog,0
First,5,5,6.5,Right-handed,Right leg in first,On your left side,Dog,0
First,5,8,6,Right-handed,Right leg in first,On your left side,Dog,0
First,5,10,6,Right-handed,Right leg in first,On your left side,Dog,0
First,6,7,7,Right-handed,Right leg in first,On your left side,Dog,0
First,7,5,4.5,Right-handed,Right leg in first,On your left side,Dog,0
First,7,6,8,Right-handed,Right leg in first,On your left side,Dog,0
First,7,7,5,Right-handed,Right leg in first,On your left side,Dog,0
First,7,8,8,Right-handed,Right leg in first,On your left side,Dog,0
First,7,12,8,Right-handed,Right leg in first,On your left side,Dog,0
First,8,10,6,Right-handed,Right leg in first,On your left side,Dog,0
First,4,5,7,Right-handed,I don't know,On your right side,Dog,0
First,7,18,7.5,Right-handed,I don't know,On your right side,Dog,0
First,8,30,9,Right-handed,I don't know,On your right side,Dog,0
First,1,2,7,Left-handed,Left leg in first,On your right side,Dog,0
First,4,6,6,Right-handed,Left leg in first,On your right side,Dog,0
First,5,3,7,Right-handed,Left leg in first,On your right side,Dog,0
First,7,5,7,Right-handed,Left leg in first,On your right side,Dog,0
First,7,20,5,Right-handed,Left leg in first,On your right side,Dog,0
First,8,7,7,Right-handed,Left leg in first,On your right side,Dog,0
First,8,12,7,Left-handed,Right leg in first,On your right side,Dog,0
First,8,12,8,Left-handed,Right leg in first,On your right side,Dog,0
First,3,2,8,Right-handed,Right leg in first,On your right side,Dog,0
First,4,7,6,Right-handed,Right leg in first,On your right side,Dog,0
First,5,5,7,Right-handed,Right leg in first,On your right side,Dog,0
First,5,8,8,Right-handed,Right leg in first,On your right side,Dog,0
First,6,4,7,Right-handed,Right leg in first,On your right side,Dog,0
First,7,5,6,Right-handed,Right leg in first,On your right side,Dog,0
First,7,5,7,Right-handed,Right leg in first,On your right side,Dog,0
First,7,12,7,Right-handed,Right leg in first,On your right side,Dog,0
First,7,24,7,Right-handed,Right leg in first,On your right side,Dog,0
First,8,5,7,Right-handed,Right leg in first,On your right side,Dog,0
First,8,10,3,Right-handed,Right leg in first,On your right side,Dog,0
First,8,10,6,Right-handed,Right leg in first,On your right side,Dog,0
First,8,15,7,Right-handed,Right leg in first,On your right side,Dog,0
First,10,25,7,Right-handed,Right leg in first,On your right side,Dog,0
First,3,5,7,Right-handed,Left leg in first,On your stomach,Dog,0
First,3,10,8,Right-handed,Left leg in first,On your stomach,Dog,0
First,8,16,7,Left-handed,Right leg in first,On your stomach,Dog,0
First,3,5,7,Right-handed,Right leg in first,On your stomach,Dog,0
First,4,3,6,Right-handed,Right leg in first,On your stomach,Dog,0
First,4,5,6,Right-handed,Right leg in first,On your stomach,Dog,0
First,6,3,8,Right-handed,Right leg in first,On your stomach,Dog,0
First,6,10,6,Right-handed,Right leg in first,On your stomach,Dog,0
First,8,2,5,Right-handed,Right leg in first,On your stomach,Dog,0
Fourth,5,10,6,Right-handed,Left leg in first,On your back,Dog,0
Fourth,6,4,8.5,Right-handed,Right leg in first,On your back,Dog,0
Fourth,10,15,7,Right-handed,Left leg in first,On your left side,Dog,0
Fourth,6,5,7,Right-handed,Right leg in first,On your right side,Dog,0
Fourth,5,1,6,Right-handed,Right leg in first,On your stomach,Dog,0
Second,3,2,8,Right-handed,Left leg in first,On your back,Dog,0
Second,7,15,8,Right-handed,Left leg in first,On your back,Dog,0
Second,9,7,7,Right-handed,Left leg in first,On your back,Dog,0
Second,5,3,8,Left-handed,Right leg in first,On your back,Dog,0
Second,7,8,6,Left-handed,Right leg in first,On your back,Dog,0
Second,2,4,9,Right-handed,Right leg in first,On your back,Dog,0
Second,3,2,8,Right-handed,Right leg in first,On your back,Dog,0
Second,4,3,8,Right-handed,Right leg in first,On your back,Dog,0
Second,6,5,7,Right-handed,Right leg in first,On your back,Dog,0
Second,7,3,8,Right-handed,Right leg in first,On your back,Dog,0
Second,9,8,7,Right-handed,Right leg in first,On your back,Dog,0
Second,3,15,10,Right-handed,Left leg in first,On your left side,Dog,0
Second,4,3,7,Right-handed,Left leg in first,On your left side,Dog,0
Second,5,10,8,Right-handed,Left leg in first,On your left side,Dog,0
Second,5,12,8,Right-handed,Left leg in first,On your left side,Dog,0
Second,8,5,9,Right-handed,Left leg in first,On your left side,Dog,0
Second,8,6,8,Right-handed,Left leg in first,On your left side,Dog,0
Second,8,8,8,Right-handed,Left leg in first,On your left side,Dog,0
Second,9,14,7,Right-handed,Left leg in first,On your left side,Dog,0
Second,3,5,7,Left-handed,Right leg in first,On your left side,Dog,0
Second,3,4,8,Right-handed,Right leg in first,On your left side,Dog,0
Second,7,3,8,Right-handed,Right leg in first,On your left side,Dog,0
Second,7,10,8,Right-handed,Right leg in first,On your left side,Dog,0
Second,8,5,7,Right-handed,Right leg in first,On your left side,Dog,0
Second,9,10,7,Right-handed,Right leg in first,On your left side,Dog,0
Second,10,3,6,Right-handed,Right leg in first,On your left side,Dog,0
Second,10,3,8,Right-handed,Right leg in first,On your left side,Dog,0
Second,7,4,8,Left-handed,I don't know,On your right side,Dog,0
Second,3,10,9,Right-handed,Left leg in first,On your right side,Dog,0
Second,7,6,7,Right-handed,Left leg in first,On your right side,Dog,0
Second,7,10,6,Right-handed,Left leg in first,On your right side,Dog,0
Second,7,10,7,Right-handed,Left leg in first,On your right side,Dog,0
Second,8,3,8,Right-handed,Left leg in first,On your right side,Dog,0
Second,8,10,7,Right-handed,Left leg in first,On your right side,Dog,0
Second,8,10,8,Right-handed,Left leg in first,On your right side,Dog,0
Second,5,3,8.5,Right-handed,Right leg in first,On your right side,Dog,0
Second,7,5,6,Right-handed,Right leg in first,On your right side,Dog,0
Second,7,5,7,Right-handed,Right leg in first,On your right side,Dog,0
Second,8,4,6.5,Right-handed,Right leg in first,On your right side,Dog,0
Second,8,6,9,Right-handed,Right leg in first,On your right side,Dog,0
Second,8,12,7,Right-handed,Right leg in first,On your right side,Dog,0
Second,8,50,8,Right-handed,Right leg in first,On your right side,Dog,0
Second,7,3,7,Left-handed,Left leg in first,On your stomach,Dog,0
Second,8,15,8,Right-handed,Left leg in first,On your stomach,Dog,0
Second,9,40,7,Right-handed,Left leg in first,On your stomach,Dog,0
Second,4,2,7,Right-handed,Right leg in first,On your stomach,Dog,0
Second,6,3,6,Right-handed,Right leg in first,On your stomach,Dog,0
Second,6,5,6,Right-handed,Right leg in first,On your stomach,Dog,0
Second,7,3,7,Right-handed,Right leg in first,On your stomach,Dog,0
Second,7,15,8.5,Right-handed,Right leg in first,On your stomach,Dog,0
Second,8,7,8,Right-handed,Right leg in first,On your stomach,Dog,0
Second,8,25,8,Right-handed,Right leg in first,On your stomach,Dog,0
Second,10,10,7,Right-handed,Right leg in first,On your stomach,Dog,0
Third,5,1,8,Right-handed,I don't know,On your back,Dog,0
Third,5,4,6,Right-handed,I don't know,On your back,Dog,0
Third,5,8,7,Right-handed,I don't know,On your back,Dog,0
Third,1,2,5,Right-handed,Left leg in first,On your back,Dog,0
Third,2,1,7,Right-handed,Left leg in first,On your back,Dog,0
Third,5,2,8,Right-handed,Left leg in first,On your back,Dog,0
Third,9,15,7,Right-handed,Left leg in first,On your back,Dog,0
Third,6,3,7,Right-handed,I don't know,On your left side,Dog,0
Third,5,6,7,Right-handed,Left leg in first,On your left side,Dog,0
Third,5,10,8,Right-handed,Left leg in first,On your left side,Dog,0
Third,8,3,8,Right-handed,Left leg in first,On your left side,Dog,0
Third,8,10,8,Ambidextrous,Right leg in first,On your left side,Dog,0
Third,8,5,7,Left-handed,Right leg in first,On your left side,Dog,0
Third,4,4,8,Right-handed,Right leg in first,On your left side,Dog,0
Third,6,2,7,Right-handed,Right leg in first,On your left side,Dog,0
Third,7,4,7,Right-handed,Right leg in first,On your left side,Dog,0
Third,7,15,5,Right-handed,Right leg in first,On your left side,Dog,0
Third,9,3,7,Right-handed,Right leg in first,On your left side,Dog,0
Third,3,7,9,Right-handed,I don't know,On your right side,Dog,0
Third,9,7,8,Right-handed,I don't know,On your right side,Dog,0
Third,3,3,8,Right-handed,Left leg in first,On your right side,Dog,0
Third,4,5,8,Right-handed,Left leg in first,On your right side,Dog,0
Third,5,1,5,Right-handed,Left leg in first,On your right side,Dog,0
Third,5,2,8,Right-handed,Left leg in first,On your right side,Dog,0
Third,5,3,8,Right-handed,Left leg in first,On your right side,Dog,0
Third,5,5,6.5,Right-handed,Left leg in first,On your right side,Dog,0
Third,6,6,7,Right-handed,Left leg in first,On your right side,Dog,0
Third,7,0,7,Right-handed,Left leg in first,On your right side,Dog,0
Third,7,7,6,Left-handed,Right leg in first,On your right side,Dog,0
Third,2,2,7.5,Right-handed,Right leg in first,On your right side,Dog,0
Third,4,4,8,Right-handed,Right leg in first,On your right side,Dog,0
Third,4,5,6,Right-handed,Right leg in first,On your right side,Dog,0
Third,5,2,8,Right-handed,Right leg in first,On your right side,Dog,0
Third,5,3,7,Right-handed,Right leg in first,On your right side,Dog,0
Third,6,5,7,Right-handed,Right leg in first,On your right side,Dog,0
Third,7,6,6,Right-handed,Right leg in first,On your right side,Dog,0
Third,8,8,6,Right-handed,Right leg in first,On your right side,Dog,0
Third,9,9,7,Right-handed,Right leg in first,On your right side,Dog,0
Third,6,5,6,Right-handed,I don't know,On your stomach,Dog,0
Third,8,6,7,Right-handed,I don't know,On your stomach,Dog,0
Third,4,5,7,Left-handed,Left leg in first,On your stomach,Dog,0
Third,5,4,8,Right-handed,Left leg in first,On your stomach,Dog,0
Third,8,10,9,Right-handed,Left leg in first,On your stomach,Dog,0
Third,8,5,8,Left-handed,Left leg in first,On your left side,Dog,0
Third,9,15,7,Right-handed,Left leg in first,On your right side,"Dog, Bird",7
Third,2,3,6,Right-handed,Left leg in first,On your back,"Dog, Bird",3
First,3,2,4,Right-handed,I don't know,On your right side,"Dog, Bird",2
Second,10,5,7,Right-handed,Right leg in first,On your right side,"Dog, Bird",2
Third,10,9,7,Right-handed,Right leg in first,On your stomach,"Dog, Bird",1
First,4,5,7,Right-handed,I don't know,On your right side,"Dog, Bird",0
Second,7,5,7,Left-handed,Right leg in first,On your right side,"Dog, Bird",0
Second,6,10,8,Right-handed,Right leg in first,On your right side,"Dog, Bird, Horse",4
Second,5,10,6,Left-handed,Right leg in first,On your right side,"Dog, Bird, Lizard",6
First,5,6,7,Right-handed,Left leg in first,On your back,"Dog, Chickens :) (Maybe bird)",5
First,4,4,6,Right-handed,Left leg in first,On your left side,"Dog, Chickens, Ducks, Quails, Peacocks",2
Second,8,5,8,Right-handed,Right leg in first,On your stomach,"Dog, chinchilla ",7
First,7,10,6,Right-handed,Right leg in first,On your stomach,"Dog, Fish",12
First,6,3,7,Right-handed,I don't know,On your right side,"Dog, Fish",10
First,8,6,7.5,Right-handed,Left leg in first,On your right side,"Dog, Fish",6
First,7,7,5.5,Right-handed,Right leg in first,On your right side,"Dog, Fish",6
First,6,3,7,Right-handed,Right leg in first,On your right side,"Dog, Fish",4
First,6,6,6,Right-handed,Left leg in first,On your back,"Dog, Fish",2
First,6,6,7,Right-handed,Right leg in first,On your right side,"Dog, Fish",2
First,7,10,7,Right-handed,Right leg in first,On your right side,"Dog, Fish",2
Second,8,30,7,Right-handed,Right leg in first,On your right side,"Dog, Fish",2
Third,4,3,7,Right-handed,Right leg in first,On your left side,"Dog, Fish",2
Third,7,3,6,Right-handed,Right leg in first,On your left side,"Dog, Fish",2
Third,4,6,7,Right-handed,Left leg in first,On your stomach,"Dog, Fish",2
Second,8,20,7,Right-handed,Right leg in first,On your back,"Dog, Fish",1
First,5,7,7,Right-handed,Left leg in first,On your back,"Dog, Fish",0
First,3,10,7,Right-handed,Right leg in first,On your left side,"Dog, Fish",0
First,3,3,8,Right-handed,Right leg in first,On your right side,"Dog, Fish",0
First,7,6,8,Right-handed,Right leg in first,On your right side,"Dog, Fish",0
First,1,3,6,Right-handed,I don't know,On your stomach,"Dog, Fish",0
Second,4,7,7,Ambidextrous,I don't know,On your back,"Dog, Fish",0
Second,3,4,6,Right-handed,I don't know,On your back,"Dog, Fish",0
Second,7,4,8,Right-handed,I don't know,On your back,"Dog, Fish",0
Second,1,1,10,Right-handed,Right leg in first,On your back,"Dog, Fish",0
Second,6,15,8,Right-handed,Left leg in first,On your left side,"Dog, Fish",0
Second,7,3,7,Right-handed,Left leg in first,On your right side,"Dog, Fish",0
Second,7,5,8,Ambidextrous ,Left leg in first,On your stomach,"Dog, Fish",0
Second,9,7,6,Right-handed,Left leg in first,On your stomach,"Dog, Fish",0
Third,4,3,6,Right-handed,Right leg in first,On your right side,"Dog, Fish",0
Third,2,5,6,Right-handed,Right leg in first,On your stomach,"Dog, Fish, Bird",0
Second,8,7,7,Ambidextrous ,Left leg in first,On your left side,"Dog, Fish, Bird, Hamster or Guinea Pig",6
Third,2,5,7.5,Ambidextrous ,Left leg in first,On your right side,"Dog, Fish, one of my fish ate the other fish, it was kind of sad. I just woke up one day and the other fish was entirely gone from the tank. I mean, EVERYTHING, EVEN THE BONES. That's coldhearted. I did name the koi fish that ate the goldfish shredder though so I guess it makes sense. It's named after the teenage mutant ninja turtles villain. Thank you for your time.",0
Second,7,20,8,Right-handed,I don't know,On your right side,"Dog, Fish, Rabbit",10
Fifth or above,2,2,8,Right-handed,Left leg in first,On your right side,"Dog, Fish, Rabbit",1
First,5,8,7,Right-handed,Left leg in first,On your right side,"Dog, Fish, Rabbit, Lizard",0
First,7,7,7,Right-handed,Right leg in first,On your back,"Dog, Fish, Turtle",2
First,7,10,8,Right-handed,Right leg in first,On your left side,"Dog, Fish, Turtle",2
Third,7,10,7,Right-handed,I don't know,On your left side,"Dog, Fish, Turtle",1
Second,3,5,7,Right-handed,Right leg in first,On your right side,"Dog, Fish, Turtle",0
Second,4,5,10,Right-handed,Right leg in first,On your right side,"Dog, Fish, Turtle, Hamster or Guinea Pig",0
Second,5,10,8,Right-handed,Left leg in first,On your right side,"Dog, Fish, Turtle, Rabbit",0
Fourth,8,4,8,Right-handed,Left leg in first,On your left side,"Dog, Fish, Turtle, Rabbit, Bird, Specific birds: peacocks, pheasants, chickens, parakeet",0
First,6,10,6,Right-handed,Left leg in first,On your stomach,"Dog, Fish, Turtle, Rabbit, Snake, Lizard",2
First,5,7,7,Right-handed,Right leg in first,On your right side,"Dog, Hamster or Guinea Pig",2
Second,5,4,8,Right-handed,Left leg in first,On your stomach,"Dog, Hedgehog",13
Second,6,5,8,Right-handed,Left leg in first,On your left side,"Dog, Hedgehog",0
First,9,9,8,Right-handed,Left leg in first,On your stomach,"Dog, horse",0
First,5,6,7,Right-handed,Right leg in first,On your stomach,"Dog, Lizard",2
First,10,7,7,Left-handed,Right leg in first,On your back,"Dog, Lizard",1
First,9,30,7,Right-handed,Left leg in first,On your right side,"Dog, Lizard",0
Second,3,3,8,Right-handed,Right leg in first,On your left side,"Dog, Lizard",0
Second,7,15,15,Right-handed,Right leg in first,On your left side,"Dog, my boyfriend",3
First,5,8,6.5,Right-handed,Right leg in first,On your left side,"Dog, my brother...also my future black cat name Archimedes",2
First,8,0,8,Right-handed,Right leg in first,On your back,"Dog, None",0
First,5,5,7,Right-handed,Right leg in first,On your back,"Dog, Rabbit",0
Second,4,3,6,Right-handed,Right leg in first,On your left side,"Dog, Rabbit",0
Second,5,4,6,Right-handed,Left leg in first,On your right side,"Dog, Rabbit, Hamster or Guinea Pig",2
Second,8,5,7,Left-handed,Left leg in first,On your stomach,"Dog, Rabbit, Snake",0
Second,4,2,6,Right-handed,Left leg in first,On your stomach,"Dog, Snake, Lizard",0
First,6,10,6,Right-handed,Right leg in first,On your left side,"Dog, Tortoise",4
First,3,3,8,Right-handed,Left leg in first,On your right side,"Dog, Turtle",7
Second,3,6,8,Right-handed,Right leg in first,On your left side,"Dog, Turtle",4
Second,8,2,8,Right-handed,Right leg in first,On your right side,"Dog, Turtle",3
Second,6,5,8,Right-handed,Left leg in first,On your stomach,"Dog, Turtle",2
Second,3,4,7,Right-handed,Right leg in first,On your back,"Dog, Turtle",0
Second,2,4,7,Right-handed,Right leg in first,On your left side,Fish,7
Third,4,4,7,Right-handed,Right leg in first,On your left side,Fish,6
Third,8,10,6,Right-handed,Right leg in first,On your right side,Fish,5
Third,3,3,8,Right-handed,I don't know,On your right side,Fish,4
First,4,4,7,Right-handed,Right leg in first,On your back,Fish,2
First,5,4,6.5,Right-handed,Right leg in first,On your back,Fish,2
First,6,5,6.5,Right-handed,Right leg in first,On your back,Fish,2
First,7,6,7,Right-handed,Right leg in first,On your back,Fish,2
First,8,8,8,Left-handed,Left leg in first,On your left side,Fish,2
First,2,2,8,Right-handed,Right leg in first,On your left side,Fish,2
First,7,8,6,Right-handed,Left leg in first,On your right side,Fish,2
First,7,4,7,Right-handed,Right leg in first,On your stomach,Fish,2
First,7,4,7,Right-handed,Right leg in first,On your stomach,Fish,2
Second,5,5,7,Right-handed,Right leg in first,On your left side,Fish,2
Second,8,8,6.5,Right-handed,I don't know,On your right side,Fish,2
Second,2,12,6,Right-handed,Left leg in first,On your right side,Fish,2
First,1,4,8,Right-handed,Right leg in first,On your left side,Fish,1
First,7,2,8,Left-handed,Left leg in first,On your right side,Fish,1
Second,7,5,7.5,Right-handed,I don't know,On your back,Fish,1
First,6,8,8,Right-handed,Left leg in first,On your back,Fish,0
First,6,3,6,Left-handed,Right leg in first,On your back,Fish,0
First,4,4,8.5,Right-handed,Right leg in first,On your back,Fish,0
First,9,3,7,Right-handed,Right leg in first,On your back,Fish,0
First,6,10,7,Right-handed,Right leg in first,On your left side,Fish,0
First,3,3,8,Right-handed,Left leg in first,On your right side,Fish,0
First,6,3,7,Right-handed,Left leg in first,On your right side,Fish,0
First,9,5,7,Right-handed,Left leg in first,On your right side,Fish,0
First,7,8,8,Right-handed,Right leg in first,On your right side,Fish,0
First,3,4,7,Right-handed,I don't know,On your stomach,Fish,0
First,5,4,9,Left-handed,Left leg in first,On your stomach,Fish,0
First,7,10,7,Right-handed,Left leg in first,On your stomach,Fish,0
First,3,0,7,Right-handed,Right leg in first,On your stomach,Fish,0
Fourth,6,4,7,Right-handed,I don't know,On your back,Fish,0
Fourth,3,3,8,Right-handed,Left leg in first,On your stomach,Fish,0
Second,9,40,6,Right-handed,Left leg in first,On your left side,Fish,0
Second,5,10,7,Right-handed,Right leg in first,On your left side,Fish,0
Second,6,10,6,Right-handed,Right leg in first,On your left side,Fish,0
Second,5,6,7,Right-handed,I don't know,On your right side,Fish,0
Second,5,3,8,Right-handed,Left leg in first,On your right side,Fish,0
Second,3,3,8,Right-handed,Right leg in first,On your right side,Fish,0
Second,8,5,7,Right-handed,Left leg in first,On your stomach,Fish,0
Second,2,10,8,Left-handed,Right leg in first,On your stomach,Fish,0
Second,8,11,6,Right-handed,Right leg in first,On your stomach,Fish,0
Third,2,2,8,Right-handed,Right leg in first,On your back,Fish,0
Third,4,2,7,Right-handed,Right leg in first,On your back,Fish,0
Third,5,4,7,Right-handed,Right leg in first,On your back,Fish,0
Third,8,8,8,Right-handed,I don't know,On your right side,Fish,0
First,3,3,6,Right-handed,Right leg in first,On your left side,"Fish, Bird",0
Fourth,3,2,6,Right-handed,Right leg in first,On your right side,"Fish, Bird",0
Second,4,15,6,Right-handed,Left leg in first,On your right side,"Fish, Hamster or Guinea Pig",2
First,6,4,8,Right-handed,Right leg in first,On your left side,"Fish, Hamster or Guinea Pig",0
First,2,5,4,Right-handed,I don't know,On your right side,"Fish, Rabbit, Bird",3
First,6,14,7,Right-handed,Right leg in first,On your left side,"Fish, Turtle",2
Fourth,8,20,6,Right-handed,Left leg in first,On your right side,"Fish, Turtle",1
First,5,10,7,Left-handed,Right leg in first,On your right side,"Fish, Turtle",0
First,3,3,8,Right-handed,Right leg in first,On your left side,Hamster or Guinea Pig,4
Third,8,5,6.5,Right-handed,Left leg in first,On your stomach,Hamster or Guinea Pig,4
Third,1,2,6,Right-handed,Right leg in first,On your left side,Hamster or Guinea Pig,3
Third,3,3,8,Right-handed,Right leg in first,On your left side,Hamster or Guinea Pig,3
First,9,4,6,Right-handed,Left leg in first,On your right side,Hamster or Guinea Pig,2
